name,latitude,longitude
2090,-12.75353,131.2828333
2091,-12.75388167,131.2820017
2092,-12.75388167,131.2820017
2093,-12.75478167,131.2820017
2094,-12.75568833,131.2783833
2095,-12.75692833,131.2758483
2096,-12.767185,131.2731333
2097,-12.76885667,131.2688817
2098,-12.76872333,131.2685383
2099,-12.76847167,131.2676367
2100,-12.76683,131.26361
2101,-12.76682333,131.263555
2102,-12.76661167,131.2603183
2103,-12.76817167,131.2583
2104,-12.76815833,131.25828
2105,-12.76757667,131.2571183
2106,-12.767555,131.257105
2107,-12.767515,131.2570833
2108,-12.76733833,131.2557
2109,-12.76877333,131.2543167
2110,-12.76878833,131.2542983
2111,-12.77413333,131.2601367
2112,-12.77414833,131.26014
2113,-12.77591333,131.2602267
2114,-12.78047167,131.25743
2115,-12.78100667,131.2542233
2116,-12.78259833,131.25165
2117,-12.78076167,131.2477983
2118,-12.77925833,131.2432467
2119,-12.77924333,131.2432367
2120,-12.78254667,131.2394433
2121,-12.78314167,131.2394433
2122,-12.787905,131.2357033
2123,-12.78789,131.2356983
2124,-12.78688833,131.2352183
2125,-12.78685667,131.235215
2126,-12.78137833,131.239325
2127,-12.78990167,131.229205
2128,-12.79161,131.22853
2129,-12.79348833,131.2271983
2130,-12.79423833,131.2270483
2131,-12.79489667,131.226235
2132,-12.79491667,131.2262383
2133,-12.800875,131.2228267
2134,-12.80416167,131.21754
2135,-12.80413833,131.217485
2136,-12.803305,131.2166683
2137,-12.80492333,131.214305
2138,-12.80560833,131.215095
2139,-12.81252667,131.2178733
2140,-12.81824167,131.2183867
2141,-12.82041333,131.2175867
2142,-12.82117667,131.2137467
2143,-12.82074667,131.2117633
2144,-12.82078833,131.2111133
2145,-12.820585,131.2102033
2146,-12.82320333,131.2083483
2147,-12.82335833,131.2082367
2148,-12.8249,131.2086083
2149,-12.82600167,131.20887
2150,-12.82605,131.2089017
2151,-12.83149,131.2095817
2152,-12.83283667,131.208995
2153,-12.838015,131.206885
2154,-12.841735,131.2070067
2155,-12.84311667,131.20733
2156,-12.86283833,131.2048783
2157,-12.871805,131.2048483
2158,-12.87361667,131.2043667
2159,-12.875095,131.2042583
2160,-12.87683667,131.204235
2161,-12.88073333,131.20107
2162,-12.88222667,131.2015533
2163,-12.88368667,131.202135
2164,-12.884325,131.2028633
2165,-12.89369833,131.2097483
2166,-12.89369833,131.2097483
2167,-12.89369833,131.2097483
2168,-12.89607,131.2124183
2169,-12.89767833,131.2146433
2170,-12.90027167,131.2173583
2171,-12.70653,131.27269
2172,-12.70984333,131.2742283
2173,-12.72800333,131.2716433
2174,-12.73501667,131.2831367
2175,-12.73868167,131.28242
2176,-12.743985,131.2807167
2177,-12.74636833,131.2808583
2178,-12.74699667,131.28091
2179,-12.75513667,131.2797967
2180,-12.75530333,131.2794
2181,-12.75674333,131.277695
2182,-12.75641,131.2766717
